"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Поиск фильмов с параметром жанра 'комедия'","279","Поиск фильмов определенного жанра","","Thu Oct 31 00:44:28 MSK 2024","passed","Thu Oct 31 00:44:28 MSK 2024","","API-тесты на проверку сайта ""Кинопоиск""","",""
"","15516","Проверка входа в личный кабинет с пустым полем пароля","","Thu Oct 31 00:45:38 MSK 2024","passed","Thu Oct 31 00:45:54 MSK 2024","","UI-тесты на проверку сайта ""Кинопоиск""","",""
"","297","Поиск фильма по id","","Thu Oct 31 00:44:27 MSK 2024","passed","Thu Oct 31 00:44:28 MSK 2024","","API-тесты на проверку сайта ""Кинопоиск""","",""
"","15489","Поиск конкретного фильма/сериала","","Thu Oct 31 00:44:57 MSK 2024","passed","Thu Oct 31 00:45:13 MSK 2024","","UI-тесты на проверку сайта ""Кинопоиск""","",""
"","1219","Поиск фильма по названию на кириллице","","Thu Oct 31 00:44:26 MSK 2024","passed","Thu Oct 31 00:44:27 MSK 2024","","API-тесты на проверку сайта ""Кинопоиск""","",""
"Ожидаемо падающий тест,
                    так как тело ответа возвращает не пустой список,
                    а список различных фильмов/сериалов","165","Поиск при вводе в поисковую строку только пробелов","","Thu Oct 31 00:44:28 MSK 2024","skipped","Thu Oct 31 00:44:28 MSK 2024","","API-тесты на проверку сайта ""Кинопоиск""","",""
"","8785","Поиск при выборе противоречащих
              друг другу фильтров","","Thu Oct 31 00:45:29 MSK 2024","passed","Thu Oct 31 00:45:38 MSK 2024","","UI-тесты на проверку сайта ""Кинопоиск""","",""
"Поиск фильмов с параметром жанра 'комедия'","16322","Поиск фильма определённого жанра","","Thu Oct 31 00:45:13 MSK 2024","passed","Thu Oct 31 00:45:29 MSK 2024","","UI-тесты на проверку сайта ""Кинопоиск""","",""
"","6526","Переход с главной страницы сайта
              в категорию ""Сериалы""","","Thu Oct 31 00:44:51 MSK 2024","passed","Thu Oct 31 00:44:57 MSK 2024","","UI-тесты на проверку сайта ""Кинопоиск""","",""
"","135","Поиск при выборе противоречащих
              друг другу фильтров","","Thu Oct 31 00:44:28 MSK 2024","passed","Thu Oct 31 00:44:28 MSK 2024","","API-тесты на проверку сайта ""Кинопоиск""","",""
